ant,id,Score,Viewcount,Body
16,901712,4356,3991530,"<p>I need to check the <code>checked</code> property of a checkbox and perform an action based on the checked property using jQuery.</p>

<p>For example, if the age checkbox is checked, then I need to show a textbox to enter age, else hide the textbox.</p>

<p>But the following code returns <code>false</code> by default:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>if ($('#isAgeSelected').attr('checked'))
{
    $(""#txtAge"").show();
}
else
{
    $(""#txtAge"").hide();
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js""&gt;&lt;/script&gt;

&lt;input type=""checkbox"" id=""isAgeSelected""/&gt;

&lt;div id=""txtAge"" style=""display:none""&gt;
Age is selected
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>How do I successfully query the <code>checked</code> property?</p>
"
17,20035101,2289,3939208,"<p>I am trying to do authorization using <a href=""http://en.wikipedia.org/wiki/JavaScript"" rel=""noreferrer"">JavaScript</a> by connecting to the <a href=""http://en.wikipedia.org/wiki/Representational_state_transfer#RESTful_web_services"" rel=""noreferrer"">RESTful</a> <a href=""http://en.wikipedia.org/wiki/Application_programming_interface"" rel=""noreferrer"">API</a> built in <a href=""https://en.wikipedia.org/wiki/Flask_%28web_framework%29"" rel=""noreferrer"">Flask</a>. However, when I make the request, I get the following error:</p>

<blockquote>
  <p>XMLHttpRequest cannot load <a href=""http://myApiUrl/login"" rel=""noreferrer"">http://myApiUrl/login</a>. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'null' is therefore not allowed access.</p>
</blockquote>

<p>I know that the API or remote resource must set the header, but why did it work when I made the request via the Chrome extension <a href=""https://chrome.google.com/webstore/detail/postman/fhbjgbiflinjbdggehcddcbncdddomop"" rel=""noreferrer"">Postman</a>?</p>

<p>This is the request code:</p>

<pre><code>$.ajax({
    type: ""POST"",
    dataType: 'text',
    url: api,
    username: 'user',
    password: 'pass',
    crossDomain : true,
    xhrFields: {
        withCredentials: true
    }
})
    .done(function( data ) {
        console.log(""done"");
    })
    .fail( function(xhr, textStatus, errorThrown) {
        alert(xhr.responseText);
        alert(textStatus);
    });
</code></pre>
"
18,9329446,4404,3887032,"<p>How can I loop through all the entries in an array using JavaScript?</p>

<p>I thought it was something like this:</p>

<pre><code>forEach(instance in theArray)
</code></pre>

<p>Where <code>theArray</code> is my array, but this seems to be incorrect.</p>
"
19,363681,3342,3886091,"<p>How do I generate a random <code>int</code> value in a specific range?</p>

<p>I have tried the following, but those do not work:</p>

<p><strong>Attempt 1:</strong></p>

<pre><code>randomNum = minimum + (int)(Math.random() * maximum);
// Bug: `randomNum` can be bigger than `maximum`.
</code></pre>

<p><strong>Attempt 2:</strong></p>

<pre><code>Random rn = new Random();
int n = maximum - minimum + 1;
int i = rn.nextInt() % n;
randomNum =  minimum + i;
// Bug: `randomNum` can be smaller than `minimum`.
</code></pre>
"
20,114543,4083,3834119,"<p>How can I horizontally center a <code>&lt;div&gt;</code> within another <code>&lt;div&gt;</code> using CSS? </p>

<pre class=""lang-html prettyprint-override""><code>&lt;div id=""outer""&gt;  
  &lt;div id=""inner""&gt;Foo foo&lt;/div&gt;
&lt;/div&gt;
</code></pre>


"
21,3740152,1681,3812723,"<p>I would like to change permissions of a folder and all its sub folders and files in one step (command) in Linux.</p>

<p>I have already tried the below command but it works only for the mentioned folder:</p>

<pre><code>chmod 775 /opt/lampp/htdocs
</code></pre>

<p>Is there a way to set <code>chmod 755</code> for <code>/opt/lampp/htdocs</code> and all of its content including subfolders and files?</p>

<p>Also, in the future, if I create a new folder or file inside <code>htdocs</code>, how can the permissions of that automatically be set to <code>755</code>? </p>

<p>I had a look at this link too:</p>

<p><a href=""http://stackoverflow.com/questions/3740187/how-to-set-default-chmod-in-linux-terminal"">http://stackoverflow.com/questions/3740187/how-to-set-default-chmod-in-linux-terminal</a></p>
"
22,3437059,3601,3804420,"<p>I'm looking for a <code>string.contains</code> or <code>string.indexof</code> method in Python.</p>

<p>I want to do:</p>

<pre><code>if not somestring.contains(""blah""):
   continue
</code></pre>
"
23,1085801,1635,3761362,"<p>How do I get the selected value from a dropdown list using JavaScript?</p>

<p>I tried the methods below, but they all return the selected index instead of the value:</p>

<pre><code>var as = document.form1.ddlViewBy.value;
var e = document.getElementById(""ddlViewBy"");
var strUser = e.options[e.selectedIndex].value;
</code></pre>
"
24,513832,726,3740671,"<p>I've been using the <code>==</code> operator in my program to compare all my strings so far.
However, I ran into a bug, changed one of them into <code>.equals()</code> instead, and it fixed the bug.</p>

<p>Is <code>==</code> bad? When should it and should it not be used? What's the difference?</p>
"
25,3481828,1550,3696530,"<p>I have a string, <code>""004-034556""</code>, that I want to split into two strings:</p>

<pre><code>string1=""004"";
string2=""034556"";
</code></pre>

<p>That means the first string will contain the characters before <code>'-'</code>, and the second string will contain the characters after <code>'-'</code>. I also want to check if the string has <code>'-'</code> in it. If not, I will throw an exception. How can I do this?</p>
"
26,82831,5257,3688899,"<p>How do I see if a file exists or not, without using the <a href=""https://docs.python.org/3.6/reference/compound_stmts.html#try"" rel=""noreferrer""><code>try</code></a> statement?</p>
"
27,379906,2087,3674770,"<p>In Python, how can I parse a numeric string like <code>""545.2222""</code> to its corresponding float value, <code>545.2222</code>? Or parse the string <code>""31""</code> to an integer, <code>31</code>?</p>

<p>I just want to know how to parse a <em>float</em> <code>str</code> to a <code>float</code>, and (separately) an <em>int</em> <code>str</code> to an <code>int</code>.</p>
"
28,3207219,3474,3640418,"<p>How can I list all files of a directory in Python and add them to a <code>list</code>?</p>
"
29,1066589,3218,3602073,"<blockquote>
  <p><strong>Possible Duplicate:</strong> <br/>
  <a href=""https://stackoverflow.com/questions/46898"">How to efficiently iterate over each entry in a 'Map'?</a></p>
</blockquote>



<p>What's the best way to iterate over the items in a <a href=""https://docs.oracle.com/javase/10/docs/api/java/util/HashMap.html"" rel=""noreferrer""><code>HashMap</code></a>?</p>
"
30,901115,2701,3556259,"<p>Is there a plugin-less way of retrieving <a href=""http://en.wikipedia.org/wiki/Query_string"" rel=""nofollow noreferrer"">query string</a> values via jQuery (or without)? </p>

<p>If so, how? If not, is there a plugin which can do so?</p>
"
31,63447,1427,3498152,"<p>How do I perform an <code>IF...THEN</code> in an <code>SQL SELECT</code> statement?</p>

<p>For example:</p>

<pre><code>SELECT IF(Obsolete = 'N' OR InStock = 'Y' ? 1 : 0) AS Saleable, * FROM Product
</code></pre>
"
32,3010840,2907,3488264,"<p>In Java you can use a <code>for</code> loop to traverse objects in an array as follows:</p>

<pre><code>String[] myStringArray = {""Hello"", ""World""};
for (String s : myStringArray)
{
    // Do something
}
</code></pre>

<p>Can you do the same in JavaScript?</p>
"
33,176918,2848,3460816,"<p>For a list <code>[""foo"", ""bar"", ""baz""]</code> and an item in the list <code>""bar""</code>, how do I get its index (1) in Python?</p>
"
34,4181703,2581,3376993,"<p>In PHP, strings are concatenated together as follows:</p>

<pre><code>$foo = ""Hello"";
$foo .= "" World"";
</code></pre>

<p>Here, <code>$foo</code> becomes ""Hello World"".</p>

<p>How is this accomplished in Bash?</p>
"
35,3277503,2028,3374258,"<p>How do I read every line of a file in Python and store each line as an element in a list? </p>

<p>I want to read the file line by line and append each line to the end of the list.</p>
"
36,3552461,1889,3234989,"<p>How can I format a JavaScript date object to print as <code>10-Aug-2010</code>?</p>
"
37,89228,4495,3209416,"<p>How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?</p>
"
38,2765421,4123,3204711,"<p>I want to be able to do the following:</p>

<ol>
<li><p>Create a local branch based on some other (remote or local) branch (via <code>git branch</code> or <code>git checkout -b</code>)</p></li>
<li><p>Push the local branch
to the remote repository (publish), but make it
trackable so <code>git pull</code> and <code>git push</code> will work immediately.</p></li>
</ol>

<p>How do I do that?</p>

<p>I know about <code>--set-upstream</code> in Git 1.7, but that is a post-creation action. I want to find a way to make a similar change when pushing the branch to the remote repository.</p>
"
39,961632,1269,3203847,"<p>I want to convert an integer to a string in Python. I am typecasting it in vain:</p>

<pre><code>d = 15
d.str()
</code></pre>

<p>When I try to convert it to string, it's showing an error like <code>int</code> doesn't have any attribute called <code>str</code>.</p>
"
40,1024847,2390,3153942,"<p>Is it possible to add a key to a Python dictionary after it has been created? It doesn't seem to have an <code>.add()</code> method.</p>
"
41,1602934,2683,3153005,"<p>I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:</p>

<pre><code>if 'key1' in dict.keys():
  print ""blah""
else:
  print ""boo""
</code></pre>

<p>I think this is not the best way to accomplish this task. Is there a better way to test for a key in the dictionary?</p>
"
42,1144783,4014,3142467,"<p>I have this string:</p>

<pre><code>""Test abc test test abc test test test abc test test abc""
</code></pre>

<p>Doing:</p>

<pre><code>str = str.replace('abc', '');
</code></pre>

<p>seems to only remove the first occurrence of <code>abc</code> in the string above.</p>

<p>How can I replace <strong>all</strong> occurrences of it?</p>
"
43,426258,3965,3142335,"<p>I'd like to do something like this to tick a <code>checkbox</code> using <strong>jQuery</strong>:</p>

<pre><code>$("".myCheckBox"").checked(true);
</code></pre>

<p>or </p>

<pre><code>$("".myCheckBox"").selected(true);
</code></pre>

<p>Does such a thing exist?</p>
"
44,5411538,1505,3141075,"<p>Is it possible to set up a basic HTML page to redirect to another page on load?</p>
"
45,1712227,1827,3139143,"<p>Consider the following:</p>

<pre><code>items = []
items.append(""apple"")
items.append(""orange"")
items.append(""banana"")

# FAKE METHOD:
items.amount()  # Should return 3
</code></pre>

<p>How do I get the number of elements in the list <code>items</code>?</p>
"
46,406230,4088,3121058,"<p>I know it's possible to match a word and then reverse the matches using other tools (e.g. <code>grep -v</code>). However, is it possible to match lines that do not contain a specific word, e.g. <code>hede</code>, using a regular expression? </p>

<h3>Input:</h3>

<pre><code>hoho
hihi
haha
hede
</code></pre>

<h3>Code:</h3>

<pre><code>grep ""&lt;Regex for 'doesn't contain hede'&gt;"" input
</code></pre>

<h3>Desired output:</h3>

<pre><code>hoho
hihi
haha
</code></pre>
"
47,8865458,2167,3106318,"<p>I have a div element which contains text, and I want to align the contents of this div vertically center.</p>

<p>Here is my div style:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-css lang-css prettyprint-override""><code>#box {
  height: 170px;
  width: 270px;
  background: #000;
  font-size: 48px;
  color: #FFF;
  text-align: center;
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""box""&gt;
  Lorem ipsum dolor sit
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>What is the best way to do this?</p>
"
48,423379,2913,3048173,"<p>How can I create or use a global variable in a function?</p>

<p>If I create a global variable in one function, how can I use that global variable in another function? Do I need to store the global variable in a local variable of the function which needs its access?</p>
"
49,415511,2576,3013853,"<p>What is the module/method used to get the current time?</p>
"
50,5487892,553,2979353,"<p>The <code>OR</code> operator in the <code>WHEN</code> clause of a <code>CASE</code> statement is not supported. How can I do this?</p>

<pre><code>CASE ebv.db_no 
    WHEN 22978 OR 23218 OR 23219 THEN 'WECS 9500' 
    ELSE 'WECS 9520' 
END as wecs_system 
</code></pre>
"
51,17666249,1796,2958548,"<p>I have a <code>.sql</code> file with an export from <code>phpMyAdmin</code>. I want to import it into a different server using the command line.</p>

<p>I have a <a href=""http://en.wikipedia.org/wiki/Windows_Server_2008"" rel=""noreferrer"">Windows Server 2008</a> R2 installation. I placed the <code>.sql</code> file on the <strong><em>C drive</em></strong>, and I tried this command</p>

<pre><code>database_name &lt; file.sql
</code></pre>

<p>It is not working. I get syntax errors.</p>

<ul>
<li>How can I import this file without a problem?</li>
<li>Do I need to create a database first?</li>
</ul>
"
52,1571648,927,2921091,"<p>Is it possible to insert a tab character in HTML instead of having to type <code>&amp;nbsp;</code> four times?</p>
"
53,351409,2895,2904759,"<p>How do I append an object (such as a string or number) to an array in JavaScript?          </p>
"
54,4750806,2457,2893000,"<p><a href=""https://pip.pypa.io/en/stable/"" rel=""noreferrer""><code>pip</code></a> is a replacement for <a href=""http://setuptools.readthedocs.io/en/latest/easy_install.html"" rel=""noreferrer""><code>easy_install</code></a>. But should I install <code>pip</code> using <code>easy_install</code> on Windows?  Is there a better way?</p>
"
55,950087,4848,2891036,"<p>Is there something in JavaScript similar to <code>@import</code> in CSS that allows you to include a JavaScript file inside another JavaScript file?</p>
"
56,184618,360,2870744,"<p>What is the best comment in source code you have ever encountered?</p>
"
57,1911109,2742,2866807,"<p>Git clone will behave copying remote current working branch into local. </p>

<p>Is there any way to clone a specific branch by myself without switching branches on the remote repository?</p>
"
58,510348,2613,2845875,"<p>I would like to know how to put a time delay in a Python script.</p>
"
59,48198,1992,2842054,"<p>How can you find out which process is listening on a port on Windows?</p>
"
60,1005073,2600,2839601,"<p>I want to create a list of options for testing purposes. At first, I did this:</p>

<pre><code>ArrayList&lt;String&gt; places = new ArrayList&lt;String&gt;();
places.add(""Buenos Aires"");
places.add(""Córdoba"");
places.add(""La Plata"");
</code></pre>

<p>Then I refactored the code as follows:</p>

<pre><code>ArrayList&lt;String&gt; places = new ArrayList&lt;String&gt;(
    Arrays.asList(""Buenos Aires"", ""Córdoba"", ""La Plata""));
</code></pre>

<p>Is there a better way to do this?</p>
"
61,1053424,1629,2831883,"<p>I have checked my PHP init file (<code>php.ini</code>) and <code>display_errors</code> is set and also error reporting is <code>E_ALL</code>. I have restarted my Apache webserver.</p>

<p>I have even put these lines at the top of my script, and it doesn't even catch simple parse errors. For example, I declare variables with a <code>""$""</code> and I don't close statements<code>"";""</code>. But all my scripts show a blank page on these errors, but I want to actually see the <strong>errors</strong> in my browser output. </p>

<pre><code>error_reporting(E_ALL);
ini_set('display_errors', 1);
</code></pre>

<p>What is left to do?</p>
"
62,1825585,2517,2827294,"<p>How can I determine what version of PowerShell is installed on a computer, and indeed if it is installed at all?</p>
"
63,348170,8485,2812041,"<p>I mistakenly added files to git using the command:</p>

<pre><code>git add myfile.txt
</code></pre>

<p>I have not yet run <code>git commit</code>. Is there a way to undo this, so these files won't be included in the commit?</p>
"
64,252703,3119,2805110,"<p>What's the difference between the list methods <code>append()</code> and <code>extend()</code>?</p>
"
65,455612,1497,2796386,"<p>I want <code>a</code> to be rounded to <em>13.95</em>.</p>

<pre><code>&gt;&gt;&gt; a
13.949999999999999
&gt;&gt;&gt; round(a, 2)
13.949999999999999
</code></pre>

<p>The <a href=""https://docs.python.org/2/library/functions.html#round"" rel=""noreferrer""><code>round</code></a> function does not work the way I expected.</p>
"
66,46155,4035,2761265,"<p>How can an email address be validated in JavaScript?</p>
"
67,2885173,1320,2760736,"<p>What's the simplest way to create and write to a (text) file in Java?</p>
"
68,1628088,3409,2755728,"<p>How do I reset my local branch to be just like the branch on the remote repository?</p>

<p>I did:</p>

<pre><code>git reset --hard HEAD
</code></pre>

<p>But when I run a <code>git status</code>,</p>

<pre><code>On branch master
Changes to be committed:
  (use ""git reset HEAD &lt;file&gt;..."" to unstage)
      modified:   java/com/mycompany/TestContacts.java
      modified:   java/com/mycompany/TestParser.java
</code></pre>

<p>Can you please tell me why I have these 'modified'? I haven't touched these files? If I did, I want to remove those.</p>
"
69,92082,2617,2699594,"<p>How can a column with a default value be added to an existing table in <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server#Genesis"" rel=""noreferrer"">SQL Server 2000</a> / <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server#SQL_Server_2005"" rel=""noreferrer"">SQL Server 2005</a>?</p>
"
70,154059,2606,2699203,"<p>I saw this <a href=""https://stackoverflow.com/questions/10230/checking-for-string-contents-string-length-vs-empty-string"">thread</a>, but I didn't see a JavaScript specific example. Is there a simple <code>string.Empty</code> available in JavaScript, or is it just a case of checking for <code>""""</code>?</p>
"
71,221294,3812,2697267,"<p>How can I get a timestamp in JavaScript?</p>

<p>Something similar to <a href=""https://en.wikipedia.org/wiki/Unix_time"" rel=""noreferrer"">Unix timestamp</a>, that is, a single number that represents the current time and date. Either as a number or a string.</p>
"
72,1034621,2855,2696841,"<p>All I want is to get the website URL. Not the URL as taken from a link. On the page loading I need to be able to grab the full, current URL of the website and set it as a variable to do with as I please.</p>
"
73,6768793,978,2690462,"<p>I use this code to get the full URL:</p>

<pre><code>$actual_link = 'http://'.$_SERVER['HTTP_HOST'].$_SERVER['PHP_SELF'];
</code></pre>

<p>The problem is that I use some masks in my <code>.htaccess</code>, so what we see in the URL is not always the real path of the file.</p>

<p>What I need is to get the URL, what is written in the URL, nothing more and nothing less—the full URL.</p>

<p>I need to get how it appears in the Navigation Bar in the web browser, and not the real path of the file on the server.</p>
"
74,9529078,872,2685592,"<p>I know that Git tracks changes I make to my application, and it holds on to them until I commit the changes, but here's where I'm hung up:</p>

<p>When I want to revert to a previous commit I use: </p>

<pre><code>git reset --hard HEAD</code></pre>

<p>And Git returns:</p>

<pre><code>HEAD is now at 820f417 micro
</code></pre>

<p>How do I then revert the files on my hard drive back to that previous commit?</p>

<p>My next steps were:</p>

<pre><code>git add .
git commit -m ""revert""
</code></pre>

<p>But none of the files have changed on my hard drive...</p>

<p>What am I doing right/wrong?</p>
"
75,466345,2001,2685038,"<p>I've got a huge list of date-times like this as strings:</p>

<pre><code>Jun 1 2005  1:33PM
Aug 28 1999 12:00AM
</code></pre>

<p>I'm going to be shoving these back into proper datetime fields in a database so I need to magic them into real datetime objects. </p>

<p>This is going through Django's ORM so I can't use SQL to do the conversion on insert.</p>
"
76,59838,3525,2683541,"<p>What command can be used to check if a directory exists or not, within a shell script?</p>
"
77,5590381,1463,2680827,"<p>What is the easiest way to convert from <code>int</code> to equivalent <code>string</code> in C++.  I am aware of two methods. Is there any easier way?</p>

<p>(1)</p>

<pre><code>int a = 10;
char *intStr = itoa(a);
string str = string(intStr);
</code></pre>

<p>(2)</p>

<pre><code>int a = 10;
stringstream ss;
ss &lt;&lt; a;
string str = ss.str();
</code></pre>
"
78,663171,1968,2680188,"<p>Is there a way to substring a string in Python, to get a new string from the third character to the end of the string?</p>

<p>Maybe like <code>myString[2:end]</code>?</p>

<p>If leaving the second part means 'till the end', and if you leave the first part, does it start from the start?</p>
"
79,768431,1191,2677320,"<p>Is it possible to redirect a user to a different page through the use of PHP?</p>

<p>Say the user goes to <code>www.example.com/page.php</code> and I want to redirect them to <code>www.example.com/index.php</code>, how would I do so without the use of a meta refresh? Is it possible?</p>

<p>This could even protect my pages from unauthorized users.</p>
"
80,1732348,1323,2676537,"<p>I need to match all of these opening tags:</p>

<pre><code>&lt;p&gt;
&lt;a href=""foo""&gt;
</code></pre>

<p>But not these:</p>

<pre><code>&lt;br /&gt;
&lt;hr class=""foo"" /&gt;
</code></pre>

<p>I came up with this and wanted to make sure I've got it right. I am only capturing the <code>a-z</code>.</p>

<pre><code>&lt;([a-z]+) *[^/]*?&gt;
</code></pre>

<p>I believe it says:</p>

<ul>
<li>Find a less-than, then</li>
<li>Find (and capture) a-z one or more times, then</li>
<li>Find zero or more spaces, then</li>
<li>Find any character zero or more times, greedy, except <code>/</code>, then</li>
<li>Find a greater-than</li>
</ul>

<p>Do I have that right? And more importantly, what do you think?</p>
"
81,292357,11369,2664094,"<blockquote>
  <p><strong>Moderator Note:</strong> Given that this question has already had <em>sixty-seven answers</em> posted to it (some of them deleted), consider whether or not you are <strong><em>contributing anything new</em></strong> before posting another one.</p>
</blockquote>

<p>What are the differences between <code>git pull</code> and <code>git fetch</code>?</p>
"
82,5137497,1963,2662896,"<p>In Python, what commands can I use to find:</p>

<ol>
<li>the current directory (where I was in the terminal when I ran the Python script), and</li>
<li>where the file I am executing is?</li>
</ol>
"
83,6591213,7957,2627826,"<p>I don't want to rename a remote branch, as described in <em><a href=""https://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></em>.</p>

<p>How can I rename a local branch which hasn't been pushed to a remote branch?</p>

<p>In case you need to rename <strong>remote</strong> branch as well:<br>
<em><a href=""https://stackoverflow.com/questions/30590083/how-to-rename-a-remote-git-branch-name/30590238#30590238"">How do I rename both a Git local and remote branch name</a></em></p>
"
84,113045,1671,2626385,"<pre><code>SELECT GETDATE()
</code></pre>

<p>Returns: <code>2008-09-22 15:24:13.790</code></p>

<p>I want that date part without the time part: <code>2008-09-22 00:00:00.000</code></p>

<p>How can I get that?</p>
"
